from_stop_name,to_stop_name,route_id,route_long_name,max_kmph,max_distance_miles,number_of_trips
LOISDALE CT & #6564,SPRINGFIELD MALL ROADWAY & BETWEEN FOODFEST & PARKING DECK A,221,NA,6.85,0.31,212
16TH ST & M ST,16TH ST & P ST,217,NA,6.83,0.28,12
16TH ST & M ST,16TH ST & P ST,219,NA,6.83,0.28,8
H ST & MADISON PL NW,PENNSYLVANIA AVE NW & 13TH ST  NW,61,NA,6.82,0.49,28
MASSACHUSETTS AVE NW & NEW JERSEY AVE NW,H ST NW & 5TH ST NW,87,NA,6.81,0.26,148
MT LUBENTIA WAY & MT LUBENTIA CT,HARRY S TRUMAN DR & TRUMAN MANOR #600-70,127,NA,6.81,0.38,36
14TH ST NW & IRVING ST NW,PARK RD & 16TH ST,173,NA,6.74,0.3,92
13TH ST NW & G ST NW,FRANKLIN SQUARE & BUS BAY D,111,NA,6.71,0.26,52
PENNSYLVANIA AVE NW & 12TH ST  NW,I ST & 15TH ST NW,61,NA,6.68,0.52,12
16TH ST & SHERIDAN ST,16TH ST & MISSOURI AVE,222,NA,6.67,0.3,1
23RD ST NW & I ST NW,VIRGINIA AVE & E ST,61,NA,6.66,0.34,8
I ST & 15TH ST NW,I ST & 17TH ST NW,59,NA,6.62,0.25,16
NORTH CAPITOL ST NW & PIERCE ST NW,K ST NW & NEW JERSEY AVE NW,199,NA,6.62,0.27,88
UNIVERSITY BLVD & 14TH AVE,UNIVERSITY BLVD & 15TH AVE,125,NA,6.59,0.29,24
UNIVERSITY BLVD & 14TH AVE,UNIVERSITY BLVD & 15TH AVE,132,NA,6.59,0.29,24
H ST NW & 16TH ST  X,H ST NW & 14TH ST NW,251,NA,6.57,0.25,40
CONNECTICUT AVE & BELMONT RD,CONNECTICUT AVE & CALVERT ST,185,NA,6.5,0.36,8
14TH ST & BELMONT ST,14TH ST NW & IRVING ST NW,71,NA,6.46,0.57,52
TYSONS CORNER STATION & BUS BAY G,TYSONS CORNER SHOPPING CENTER & PARKING TERRACE C (STOP 1),42,NA,6.46,0.26,250
MAINE AVE + 9TH STREET,12TH ST SW & D ST SW,69,NA,6.41,0.39,28
I ST NW & 19TH ST NW,20TH ST NW & M ST NW,59,NA,6.34,0.32,16
COLESVILLE RD & SPRING ST,SILVER SPRING STATION & BUS BAY 114,262,NA,6.14,0.37,14
COLESVILLE RD & SPRING ST,SILVER SPRING STATION & BUS BAY 113,259,NA,6.1,0.37,8
BRENTWOOD PKWY NE & PENN ST NE,FLORIDA AVE NE & 13TH ST NE,252,NA,5.92,0.64,2
BACKLICK RD & HECHINGER DR,COMMERCIAL DR & INDUSTRIAL RD,26,NA,5.65,0.29,12
POWDER MILL RD & HIGH POINT HIGH SCHOOL,POWDER MILL RD & CHERRY HILL RD,207,NA,5.58,0.35,2
I ST & 15TH ST NW,I ST & 17TH ST NW,65,NA,5.32,0.25,40
K ST NW & 14TH ST NW,13TH ST NW & G ST NW,111,NA,5.18,0.3,48
BRENTWOOD PKWY NE & PENN ST NE,8TH ST & K ST,97,NA,4.22,0.55,4
