from_stop_name,to_stop_name,route_id,route_long_name,max_kmph,max_distance_miles,number_of_trips
LOMBARD ST & CHARLES ST mb wb,HOWARD ST & CAMDEN ST sb,10232,CHURCHVILLE - BALTIMORE,6.18,0.26,5
LOMBARD ST & CHARLES ST mb wb,HOWARD ST & CAMDEN ST sb,10233,HICKORY - HOPKINS HOSPITAL,6.18,0.26,5
11TH ST & E ST NW sb,14TH ST & CONSTITUTION AVE NW sb,10245,CALIFORNIA/CHARLOTTE HALL - DC,6.17,0.38,6
GREENSPRING AVE & COLD SPRING LN nb,DUPONT LOOP SCHOOL,10191,MONDAWMIN METRO - SINAI HOSPITAL,6.02,0.31,2
23RD ST & I ST NW nb,K ST & 20TH ST NW eb,10239,WALDORF - WASHINGTON DC,5.87,0.3,13
23RD ST & I ST NW nb,K ST & 20TH ST NW eb,10241,WALDORF & ACCOKEEK - WASHINGTON DC,5.87,0.3,8
23RD ST & I ST NW nb,K ST & 20TH ST NW eb,10242,LA PLATA - WALDORF & ACCOKEEK - DC,5.87,0.3,10
FAYETTE ST & GAY ST wb,SAINT PAUL ST & FAYETTE ST fs sb,10226,COLUMBIA - BALTIMORE,5.71,0.3,2
LOCH RAVEN BLVD & ARLINGTON AVE fs nb,LOCH RAVEN BLVD & KITMORE RD nb,10406,CROMWELL BRIDGE - HARBOR EAST,5.53,0.27,1
DUKELAND AVE & CONNEXIONS ACADEMY AND BARD HIGH SCHOOL  nb,NORTH AVE & LONGWOOD ST eb,10391,WALBROOK JUNCTION - CANTON,5.5,0.52,2
LOCH RAVEN BLVD & WOODBOURNE AVE nb,LOCH RAVEN BLVD & BELVEDERE AVE nb,10406,CROMWELL BRIDGE - HARBOR EAST,5.42,0.32,1
SAINT PAUL PL & SARATOGA ST sb,CHARLES ST & PRATT ST nb,10435,DOWNTOWN - ROLAND PARK,5.21,0.43,19
WILKENS AVE & PAYSON ST eb,MONROE ST & MONTGOMERY PARK fs sb,10546,BROOKLYN - MONDAWMIN METRO,5.21,0.34,1
35TH ST & HILLEN RD,33RD ST & LOCH RAVEN BLVD wb,10402,MONDAWMIN METRO - HOPKINS BAYVIEW,4.94,0.41,3
KELLY AVE & SOUTH RD eb,FALLS RD & BELLEMORE RD nb,10409,FALLS RD LR/GREENSPRING - WESTVIEW,4.87,0.25,36
PENNSYLVANIA AVE & 10TH ST NW wb,12TH ST & G ST NW nb,10249,SUNDERLAND / DUNKIRK - DC,4.52,0.28,4
PENNSYLVANIA AVE & 10TH ST NW wb,12TH ST & G ST NW nb,10250,ST LEONARD / PRINCE FREDERICK - DC,4.52,0.28,3
NORTH AVE LT RAIL sb,PENN STATION LIGHT RAIL,10210,LIGHT RAILLINK,4.01,0.42,5
35TH ST & HILLEN RD,THE ALAMEDA & 33RD ST sb,10394,DOWNTOWN - TOWSON,3.65,0.3,1
8221 TOWN CENTER DR opp wb,WHITE MARSH PARK AND RIDE BAY 1,10392,WHITE MARSH - DOWNTOWN,3.61,0.37,11
TORAH INSTITUTE,REISTERSTOWN RD & PAINTERS MILL RD sb,10420,LUCKMAN PARK - OWINGS MILL CENTER,3.6,0.3,4
COLD SPRING LN & LIGHT RAIL eb,POLY WESTERN HIGH SCHOOL,10404,MORAVIA - ROGERS AVE METRO,1.9,0.33,2
WILLOW GLEN DR & PIMLICO RD fs wb,GREENSPRING AVE & TANEY RD eb,10420,LUCKMAN PARK - OWINGS MILL CENTER,1.5,0.3,2
